UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
,,Zm523,Sao Domingos,50%FC,R91,L4,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1387,138.7
,,Zm523,Sao Domingos,50%FC,R91,L5,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0549,54.9
,,Zm523,Sao Domingos,50%FC,R91,L6,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0039,3.9
,,Zm523,Sao Domingos,50%FC,R91,Stem,1,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3595,359.5
,,Zm523,Sao Domingos,50%FC,R92,L1,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0072,7.2
,,Zm523,Sao Domingos,50%FC,R92,L2,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0445,44.5
,,Zm523,Sao Domingos,50%FC,R92,L3,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1068,106.8
,,Zm523,Sao Domingos,50%FC,R92,L4,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1843,184.3
,,Zm523,Sao Domingos,50%FC,R92,L5,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0957,95.7
,,Zm523,Sao Domingos,50%FC,R92,L6,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0095,9.5
,,Zm523,Sao Domingos,50%FC,R92,Stem,8,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3271,327.1
,,Zm523,Sao Domingos,50%FC,R93,L1,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0167,16.7
,,Zm523,Sao Domingos,50%FC,R93,L2,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0558,55.8
,,Zm523,Sao Domingos,50%FC,R93,L3,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.142,142
,,Zm523,Sao Domingos,50%FC,R93,L4,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1517,151.7
,,Zm523,Sao Domingos,50%FC,R93,L5,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0794,79.4
,,Zm523,Sao Domingos,50%FC,R93,Stem,7,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.4241,424.1
,,B73,Sao Domingos,50%FC,R109,L1,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0078,7.8
,,B73,Sao Domingos,50%FC,R109,L2,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0279,27.9
,,B73,Sao Domingos,50%FC,R109,L3,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0747,74.7
,,B73,Sao Domingos,50%FC,R109,L4,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1268,126.8
,,B73,Sao Domingos,50%FC,R109,L5,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0878,87.8
,,B73,Sao Domingos,50%FC,R109,L6,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0031,3.1
,,B73,Sao Domingos,50%FC,R109,Stem,10,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.2559,255.9
,,B73,Sao Domingos,50%FC,R110,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0093,9.3
,,B73,Sao Domingos,50%FC,R110,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0277,27.7
,,B73,Sao Domingos,50%FC,R110,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0636,63.6
,,B73,Sao Domingos,50%FC,R110,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1402,140.2
,,B73,Sao Domingos,50%FC,R110,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1436,143.6
,,B73,Sao Domingos,50%FC,R110,L6,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.064,64
,,B73,Sao Domingos,50%FC,R110,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3217,321.7
,,B73,Sao Domingos,50%FC,R111,L1,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0106,10.6
,,B73,Sao Domingos,50%FC,R111,L2,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0285,28.5
,,B73,Sao Domingos,50%FC,R111,L3,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0779,77.9
,,B73,Sao Domingos,50%FC,R111,L4,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.139,139
,,B73,Sao Domingos,50%FC,R111,L5,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0671,67.1
,,B73,Sao Domingos,50%FC,R111,L6,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0065,6.5
,,B73,Sao Domingos,50%FC,R111,Stem,3,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.222,222
,,B73,Sao Domingos,50%FC,R112,L1,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0056,5.6
,,B73,Sao Domingos,50%FC,R112,L2,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0263,26.3
,,B73,Sao Domingos,50%FC,R112,L3,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0646,64.6
,,B73,Sao Domingos,50%FC,R112,L4,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1234,123.4
,,B73,Sao Domingos,50%FC,R112,L5,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1491,149.1
,,B73,Sao Domingos,50%FC,R112,L6,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0719,71.9
,,B73,Sao Domingos,50%FC,R112,Stem,12,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3725,372.5
,,B73,Sao Domingos,50%FC,R113,L1,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0079,7.9
,,B73,Sao Domingos,50%FC,R113,L2,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0252,25.2
,,B73,Sao Domingos,50%FC,R113,L3,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0615,61.5
,,B73,Sao Domingos,50%FC,R113,L4,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1316,131.6
,,B73,Sao Domingos,50%FC,R113,L5,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.1479,147.9
,,B73,Sao Domingos,50%FC,R113,L6,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.0766,76.6
,,B73,Sao Domingos,50%FC,R113,Stem,9,2,Ribeira São Domingos (Nora),15.018798,-23.548427,Cabo Verde,0.3979,397.9
,,Zm523,Sutton Bonington,50%FC,R94,L1,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0082,8.2
,,Zm523,Sutton Bonington,50%FC,R94,L2,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0273,27.3
,,Zm523,Sutton Bonington,50%FC,R94,L3,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0845,84.5
,,Zm523,Sutton Bonington,50%FC,R94,L4,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.1839,183.9
,,Zm523,Sutton Bonington,50%FC,R94,L5,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.1753,175.3
,,Zm523,Sutton Bonington,50%FC,R94,L6,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.0784,78.4
,,Zm523,Sutton Bonington,50%FC,R94,Stem,12,2,Sutton Bonington,52.833265,-1.24906,UK,0.3883,388.3
,,Zm523,Sutton Bonington,50%FC,R95,L1,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.0236,23.6
,,Zm523,Sutton Bonington,50%FC,R95,L2,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.0626,62.6
,,Zm523,Sutton Bonington,50%FC,R95,L3,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.1277,127.7
,,Zm523,Sutton Bonington,50%FC,R95,L4,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.2055,205.5
,,Zm523,Sutton Bonington,50%FC,R95,L5,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.098,98
,,Zm523,Sutton Bonington,50%FC,R95,L6,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.006,6
,,Zm523,Sutton Bonington,50%FC,R95,Stem,5,2,Sutton Bonington,52.833265,-1.24906,UK,0.2682,268.2
,,Zm523,Sutton Bonington,50%FC,R96,L1,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0119,11.9
,,Zm523,Sutton Bonington,50%FC,R96,L2,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0396,39.6
,,Zm523,Sutton Bonington,50%FC,R96,L3,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0978,97.8
,,Zm523,Sutton Bonington,50%FC,R96,L4,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1926,192.6
,,Zm523,Sutton Bonington,50%FC,R96,L5,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1227,122.7
,,Zm523,Sutton Bonington,50%FC,R96,L6,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0169,16.9
,,Zm523,Sutton Bonington,50%FC,R96,Stem,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.346,346
,,Zm523,Sutton Bonington,50%FC,R97,L1,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.011,11
,,Zm523,Sutton Bonington,50%FC,R97,L2,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0402,40.2
,,Zm523,Sutton Bonington,50%FC,R97,L3,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0983,98.3
,,Zm523,Sutton Bonington,50%FC,R97,L4,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1808,180.8
,,Zm523,Sutton Bonington,50%FC,R97,L5,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.1558,155.8
,,Zm523,Sutton Bonington,50%FC,R97,L6,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.0357,35.7
,,Zm523,Sutton Bonington,50%FC,R97,Stem,6,2,Sutton Bonington,52.833265,-1.24906,UK,0.291,291
,,Zm523,Sutton Bonington,50%FC,R98,L1,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.005,5
,,Zm523,Sutton Bonington,50%FC,R98,L2,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0189,18.9
,,Zm523,Sutton Bonington,50%FC,R98,L3,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.049,49
,,Zm523,Sutton Bonington,50%FC,R98,L4,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1093,109.3
,,Zm523,Sutton Bonington,50%FC,R98,L5,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1306,130.6
,,Zm523,Sutton Bonington,50%FC,R98,L6,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1057,105.7
,,Zm523,Sutton Bonington,50%FC,R98,Stem,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.2802,280.2
,,Zm523,Sutton Bonington,20%FC,R99,L1,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0074,7.4
,,Zm523,Sutton Bonington,20%FC,R99,L2,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0321,32.1
,,Zm523,Sutton Bonington,20%FC,R99,L3,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0971,97.1
,,Zm523,Sutton Bonington,20%FC,R99,L4,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.1358,135.8
,,Zm523,Sutton Bonington,20%FC,R99,L5,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0608,60.8
,,Zm523,Sutton Bonington,20%FC,R99,Stem,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.217,217
,,Zm523,Sutton Bonington,20%FC,R100,L1,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0092,9.2
,,Zm523,Sutton Bonington,20%FC,R100,L2,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0318,31.8
,,Zm523,Sutton Bonington,20%FC,R100,L3,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0585,58.5
,,Zm523,Sutton Bonington,20%FC,R100,L4,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0696,69.6
,,Zm523,Sutton Bonington,20%FC,R100,L5,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0417,41.7
,,Zm523,Sutton Bonington,20%FC,R100,Stem,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.1268,126.8
,,Zm523,Sutton Bonington,20%FC,R101,L1,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.007,7
,,Zm523,Sutton Bonington,20%FC,R101,L2,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0249,24.9
,,Zm523,Sutton Bonington,20%FC,R101,L3,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0457,45.7
,,Zm523,Sutton Bonington,20%FC,R101,L4,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0784,78.4
,,Zm523,Sutton Bonington,20%FC,R101,L5,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0768,76.8
,,Zm523,Sutton Bonington,20%FC,R101,L6,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.0251,25.1
,,Zm523,Sutton Bonington,20%FC,R101,Stem,3,2,Sutton Bonington,52.833265,-1.24906,UK,0.1523,152.3
,,Zm523,Sutton Bonington,20%FC,R102,L1,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0072,7.2
,,Zm523,Sutton Bonington,20%FC,R102,L2,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.025,25
,,Zm523,Sutton Bonington,20%FC,R102,L3,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0567,56.7
,,Zm523,Sutton Bonington,20%FC,R102,L4,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0525,52.5
